store_nbr,sales_2013,sales_2014,sales_2015,pct_14_13,pct_15_14,cat_14_13,cat_15_14,cat_tot,zip_cd,city_name,lat,long,promo_dep13,promo_dep14,promo_dep15
3,86916907.49,86449012.17,84971305.65,-0.005383249,-0.017093388,0,0,4,8088,TABERNACLE,39.84858267,-74.73497551,0.127,0.13,0.135
6,42076722.34,43861426.69,47296775.58,0.042415479,0.07832278,100.00%,100.00%,8,2446,BROOKLINE,42.342468,-71.121213,0.124,0.12,0.115
7,79546134.53,67936076.84,64193589.69,-0.145953763,-0.055088361,-100.00%,-100.00%,0,85351,SUN CITY,33.608706,-112.269303,0.149,0.155,0.149
8,161578130.5,143010890.1,141633196.9,-0.114911841,-0.009633485,-100.00%,0.00%,3,1545,SHREWSBURY,42.275546,-71.745338,0.151,0.152,0.143
9,93850047.75,92019791.26,94833634.78,-0.019501924,0.030578677,0.00%,100.00%,7,2151,REVERE,42.427832,-71.011294,0.133,0.129,0.126
11,119760530.2,124605532.9,123475753.7,0.040455755,-0.009066846,100.00%,0.00%,5,11743,HUNTINGTON,40.88017146,-73.4216007,0.118,0.121,0.123
12,74328011.99,75131427.34,74548497.16,0.010809052,-0.007758806,100.00%,0.00%,5,23112,MIDLOTHIAN,37.40801206,-77.6578907,0.145,0.145,0.141
13,48659696.73,44294003.94,42211913.79,-0.089718866,-0.04700614,-100.00%,0.00%,3,2903,PROVIDENCE,41.824202,-71.412001,0.136,0.133,0.134
15,105597062.5,115122980.8,109245276,0.09021007,-0.051055878,100.00%,-100.00%,2,75038,IRVING,32.885598,-96.963277,0.116,0.115,0.12
16,46102897.86,47842584.16,46536900.83,0.037734858,-0.027291238,100.00%,0.00%,5,70592,YOUNGSVILLE,30.10865091,-92.01373597,0.135,0.138,0.137
17,75621261.26,71597957.72,62071547.75,-0.053203338,-0.133054214,-100.00%,-100.00%,0,85308,GLENDALE,33.653784,-112.185523,0.139,0.139,0.137
18,34365241.98,31752575.75,30585641.08,-0.076026417,-0.036750866,-100.00%,0.00%,3,22407,FREDERICKSBURG,38.246667,-77.513985,0.164,0.166,0.169
19,73841589.81,57934769.4,54723026.45,-0.215418174,-0.055437227,-100.00%,-100.00%,0,77388,SPRING,30.071166,-95.477147,0.128,0.149,0.149
20,64657559.02,64472737.25,67930714.06,-0.002858471,0.053634714,0.00%,100.00%,7,2721,FALL RIVER,41.67422793,-71.16222796,0.181,0.181,0.173
21,57167251.39,59930244.34,60426513.8,0.048331744,0.008280785,100.00%,100.00%,8,20001,WASHINGTON,38.90472365,-77.02564622,0.117,0.122,0.117
22,96844803.94,90850929.81,85470141.82,-0.061891541,-0.059226559,-100.00%,-100.00%,0,20019,WASHINGTON,38.893531,-76.947668,0.139,0.148,0.14
23,81017509.27,78330515.34,75971227.52,-0.033165595,-0.030119651,0.00%,0.00%,4,1830,HAVERHILL,42.76285,-71.03992,0.124,0.123,0.121
25,57964467.67,57577739.14,57660161.84,-0.006671821,0.001431503,0.00%,100.00%,7,2478,BELMONT,42.398185,-71.174517,0.108,0.112,0.119
26,200971866.1,196568625.6,203910222.9,-0.021909736,0.037348775,0.00%,100.00%,7,2155,MEDFORD,42.405659,-71.083116,0.131,0.134,0.132
28,54659670.16,52469167,48811741.6,-0.040075309,-0.069706184,0.00%,-100.00%,1,48160,MILAN,42.09748586,-83.67754029,0.139,0.141,0.135
32,39527580.65,41064416.85,37801063.59,0.038880098,-0.079469125,100.00%,-100.00%,2,85377,CAREFREE,33.799915,-111.964468,0.133,0.136,0.135
33,73052708.63,68470831.64,67971764.85,-0.062720152,-0.00728875,-100.00%,0.00%,3,85282,TEMPE,33.408114,-111.909792,0.143,0.141,0.138
35,65391085.11,64267775.81,64547025.27,-0.017178325,0.004345093,0.00%,100.00%,7,93257,PORTERVILLE,36.08064684,-119.069711,0.185,0.187,0.182
37,111756994.2,109350819.1,108293681.3,-0.021530421,-0.009667397,0.00%,0.00%,4,2864,CUMBERLAND,41.949361,-71.441002,0.152,0.155,0.151
38,101246673.8,95063708.18,97613117.8,-0.061068333,0.026817906,-100.00%,100.00%,6,1507,CHARLTON,42.14498539,-71.96862381,0.149,0.154,0.151
40,42019872.78,33385310.03,34347900.65,-0.205487599,0.02883276,-100.00%,100.00%,6,85283,TEMPE,33.378811,-111.9624,0.152,0.152,0.159
